longitude,latitude,store_name,street_address,city,state,zip,phone_number
-93.39388,44.93588,T-0002 Knollwood,8900 Highway 7,Saint Louis Park,MN,55426,(952)935-6941
-93.365795,45.053537,T-0003  Crystal,5537 W Broadway Ave,Crystal,MN,55428,(763)533-2231
-92.168093,46.808673,T-0004  Duluth,1902 Miller Trunk Hwy,Duluth,MN,55811,(218)727-8851
-93.311624,44.860202,T-0005  Bloomington,2555 W 79th St,Bloomington,MN,55431,(952)888-7701
-93.249403,45.06631,T-0008 Fridley,755 53rd Ave NE,Minneapolis,MN,55421,(763)571-9361
-90.429222,38.755099,T-0012  Bridgeton,12275 Saint Charles Rock Rd,Bridgeton,MO,63044,(314)291-0600
-96.814378,32.927294,T-0013  North Dallas,13131 Montfort Dr,Dallas,TX,75240,(972)239-8161
-96.644107,32.856183,T-0014  Garland,1122 W Centerville Rd,Garland,TX,75041,(972)279-6711
-95.507357,29.7077,T-0016 Sharpstown,7051 Southwest Fwy,Houston,TX,77074,(713)771-8321
-104.75551,38.83858,T-0018  Colorado Springs,335 N Academy Blvd,Colorado Springs,CO,80909,(719)596-6220
-95.921138,36.13704,T-0019  Tulsa,1701 S Yale Ave,Tulsa,OK,74112,(918)744-1701
-95.233132,29.62632,T-0021  Almeda,10000 Kleckley Dr,Houston,TX,77075,(713)941-3800
-87.950088,42.958306,T-0024  Greenfield,4777 S 27th St,Greenfield,WI,53221,(414)282-1000
-88.06538,43.088021,T-0025  Wauwatosa,3900 N 124th St,Wauwatosa,WI,53222,(414)466-8400
-90.547074,38.593895,T-0026  Ballwin,15025 Manchester Rd,Ballwin,MO,63011,(636)391-7500
-95.980855,41.259264,T-0036  Omaha,360 N Saddle Creek Rd,Omaha,NE,68131,(402)553-8611
-105.054103,39.678611,T-0041  South Denver,2155 S Sheridan Blvd,Denver,CO,80227,(303)986-2261
-97.563877,35.523076,T-0043  Oklahoma City North,5400 N May Ave,Oklahoma City,OK,73112,(405)947-6761
-97.529097,35.419317,T-0044  Oklahoma City South,800 SW 44th St,Oklahoma City,OK,73109,(405)631-4411
-97.478212,35.218966,T-0046  Norman,2417 W Main St,Norman,OK,73069,(405)329-7400
-93.323006,44.875488,T-0047  Southdale,7000 York Ave S,Edina,MN,55435,(952)925-4610
-105.083485,39.84059,T-0048  Arvada,7899 Wadsworth Blvd,Arvada,CO,80003,(303)425-0124
-88.045927,42.995809,T-0050 West Allis,2600 S 108th St,West Allis,WI,53227,(414)545-8000
-93.236738,44.949507,T-0052  Lake Street,2500 E Lake St,Minneapolis,MN,55406,(612)721-5701
-96.753825,32.85785,T-0055  Medallion,212 Medallion Shp Ctr,Dallas,TX,75214,(214)361-2026
-93.288522,44.748202,T-0056  Burnsville,810 County Road 42 W,Burnsville,MN,55337,(952)435-8611
-88.010707,43.177164,T-0057  Northridge,8501 W Brown Deer Rd,Milwaukee,WI,53224,(414)355-6000
-96.115731,41.235511,T-0059  Southwest Omaha,12990 W Center Rd,Omaha,NE,68144,(402)334-5940
-96.855355,46.860485,T-0061  Fargo,4202 13th Ave SW,Fargo,ND,58103,(701)282-7400
-105.255768,40.02245,T-0064  Boulder,2800 Pearl St,Boulder,CO,80301,(303)449-3400
-96.707433,33.036183,T-0067  Plano,120 W Parker Rd,Plano,TX,75075,(972)424-9575
-93.028085,44.950229,T-0068  East St Paul,1744 Suburban Ave,Saint Paul,MN,55106,(651)778-1188
-93.753002,41.599396,T-0069  West Des Moines,1800 35th St,West Des Moines,IA,50266,(515)225-3784
-97.452206,32.736196,T-0074  Ridgmar,2600 S Cherry Ln,Fort Worth,TX,76116,(817)244-9350
-95.57368,29.734966,T-0075  Westchase,10801 Westheimer Rd,Houston,TX,77042,(713)782-9950
-96.770356,43.514225,T-0076  Sioux Falls,3600 S Louise Ave,Sioux Falls,SD,57106,(605)361-1551
-90.172089,38.921222,T-0078  Alton,300 Homer M Adams Pkwy,Alton,IL,62002,(618)465-4950
-105.0786,40.526453,T-0079  Fort Collins,105 W Troutman Pkwy,Fort Collins,CO,80525,(970)223-9100
-98.535574,33.864161,T-0080  Wichita Falls,4317 Kemp Blvd,Wichita Falls,TX,76308,(940)691-3310
-100.78487,46.798506,T-0081  Bismarck,800 Kirkwood Plaza,Bismarck,ND,58504,(701)222-8500
-88.177043,43.034967,T-0082  Waukesha,2401 Kossow Rd,Waukesha,WI,53186,(262)784-8646
-101.873425,33.528268,T-0083  Lubbock,7302 University Ave,Lubbock,TX,79423,(806)745-7579
-96.889392,32.986185,T-0084  Carrollton,2620 N Josey Ln,Carrollton,TX,75007,(972)245-7526
-101.311769,48.207639,T-0085  Minot,2400 10th St SW,Minot,ND,58701,(701)852-5820
-90.721417,42.491183,T-0086  Dubuque,3500 Dodge St,Dubuque,IA,52003,(563)557-9800
-89.903387,35.113521,T-0090  Memphis Central,601 Colonial Rd,Memphis,TN,38117,(901)685-9240
-97.251118,37.683801,T-0092  Wichita East,301 S Armour St,Wichita,KS,67207,(316)688-1556
-108.603351,39.092141,T-0093  Grand Junction,2424 Highway 6 and 50,Grand Junction,CO,81505,(970)245-8056
-103.212001,44.106949,T-0094  Rapid City,2200 N Maple Ave,Rapid City,SD,57701,(605)348-9020
-97.716344,30.362383,T-0095  Austin North,8601 Research Blvd,Austin,TX,78758,(512)837-5163
-97.792405,30.233346,T-0096  Austin South,2300 W Ben White Blvd,Austin,TX,78704,(512)445-2266
-93.446329,44.969449,T-0100  Ridgedale,13201 Ridgedale Dr,Minnetonka,MN,55305,(952)542-8250
-86.149714,39.713618,T-0103  Indianapolis South,3700 S East St,Indianapolis,IN,46227,(317)787-9357
-85.65664,40.060395,T-0107  Anderson,5501 S Scatterfield Rd,Anderson,IN,46013,(765)649-2521
-87.574749,38.014723,T-0108  Evansville North,4000 1st Ave,Evansville,IN,47710,(812)426-2218
-86.108931,40.475282,T-0111  Kokomo,1037 S Reed Rd,Kokomo,IN,46902,(765)457-7577
-85.136369,41.111121,T-0114  Fort Wayne Glenbrook,3801 Coldwater Rd,Fort Wayne,IN,46805,(260)484-9591
-85.643763,38.259888,T-0118  St Matthews,4174 Westport Rd,Louisville,KY,40207,(502)897-2576
-85.85504,38.124759,T-0120  Dixie Highway,9070 Dixie Hwy,Louisville,KY,40258,(502)933-1315
-88.953952,40.50639,T-0137  Bloomington Normal,301 Veterans Pkwy,Normal,IL,61761,(309)454-5648
-85.839533,38.30325,T-0139  New Albany,2209 State St,New Albany,IN,47150,(812)945-5046
-86.694058,36.302322,T-0144  Rivergate,2050 Gallatin Rd N,Madison,TN,37115,(615)859-5260
-86.660015,36.044187,T-0145  Hickory Hollow,5330 Cane Ridge Rd,Antioch,TN,37013,(615)731-6340
-86.852377,36.12929,T-0146  White Bridge,26 White Bridge Rd,Nashville,TN,37205,(615)352-8461
-104.881478,39.593171,T-0147  Arapahoe,6767 S Clinton St,Englewood,CO,80112,(303)790-2583
-83.932264,36.033136,T-0150  Knoxville North,5101 Broadway St NE,Knoxville,TN,37918,(865)689-6003
-84.042958,35.925443,T-0151  Knoxville West,8040 Ray Mears Blvd,Knoxville,TN,37919,(865)693-2203
-87.843578,42.69922,T-0152  Racine,5300 Durand Ave,Racine,WI,53406,(262)554-6998
-104.77995,38.9058,T-0154  Colorado Springs North,5240 N Academy Blvd,Colorado Springs,CO,80918,(719)594-9600
-94.154713,30.126767,T-0158  Beaumont,5850 Eastex Fwy,Beaumont,TX,77708,(409)898-8270
-93.156343,44.95465,T-0160  Midway,1300 University Ave W,Saint Paul,MN,55104,(651)642-1146
-95.586819,29.928625,T-0161  Steeplechase,10701 Jones Rd,Houston,TX,77065,(281)890-8440
-92.227743,34.789905,T-0162  Little Rock North,4000 McCain Blvd,North Little Rock,AR,72116,(501)771-4220
-106.264248,42.847403,T-0164  Casper,401 SE Wyoming Blvd,Casper,WY,82609,(307)265-8214
-92.461324,31.280815,T-0167  Alexandria,2206 Memorial Dr,Alexandria,LA,71301,(318)448-4351
-108.582502,45.770486,T-0171  Billings,2601 Central Ave,Billings,MT,59102,(406)652-5430
-98.48115,29.566303,T-0176  Bitters,13700 San Pedro Ave,San Antonio,TX,78232,(210)496-6800
-98.386208,29.50936,T-0177 Walzem,5330 Walzem Rd,San Antonio,TX,78218,(210)655-2022
-110.879752,32.221709,T-0179  Tucson Broadway,5255 E Broadway Blvd,Tucson,AZ,85711,(520)745-8001
-119.177136,34.228433,T-0181  Oxnard,250 W Esplanade Dr,Oxnard,CA,93030,(805)983-1411
-118.419468,34.245528,T-0183  Pacoima,9725 Laurel Canyon Blvd,Pacoima,CA,91331,(818)896-8214
-118.147594,34.09082,T-0184  Alhambra,2120 W Main St,Alhambra,CA,91801,(626)308-3290
